Episode_ID,Season,Episode,Rating,Votes
245,1,245,8.5,1925
246,1,246,8.0,1342
247,1,247,8.2,1380
248,1,248,8.2,1360
249,1,249,8.2,1370
250,1,250,9.0,3187
251,1,251,8.9,2694
252,1,252,8.0,1304
253,1,253,7.8,1263
254,1,254,8.1,1358
255,1,255,7.9,1277
256,1,256,7.8,1232
257,1,257,8.0,1299
258,1,258,8.0,1338
259,1,259,7.3,1215
260,1,260,7.7,1226
261,1,261,7.9,1268
262,1,262,8.3,1606
263,1,263,8.0,1265
264,1,264,8.0,1299
265,1,265,7.8,1231
266,1,266,7.8,1208
267,1,267,7.9,1241
268,1,268,7.9,1248
269,1,269,8.0,1283
270,1,270,8.7,2334
271,1,271,8.1,1395
272,1,272,8.4,1785
273,1,273,9.3,4026
274,1,274,9.5,5666
275,1,275,9.0,3475
276,1,276,9.1,3476
277,1,277,9.4,4613
278,1,278,9.7,21495
279,1,279,6.2,1021
280,1,280,5.8,1029
281,1,281,6.0,1014
282,1,282,5.8,1006
283,1,283,5.8,998
284,1,284,8.1,1358
285,1,285,7.8,1214
286,1,286,7.9,1230
287,1,287,7.8,1216
288,1,288,8.1,1260
289,1,289,8.0,1277
290,1,290,8.6,2134
291,1,291,5.8,1054
292,1,292,5.6,1114
293,1,293,7.9,1277
294,1,294,8.1,1295
295,1,295,7.7,1183
296,1,296,8.1,1317
297,1,297,8.2,1299
298,1,298,8.6,2019
299,1,299,8.3,1515
300,1,300,9.2,3713
301,1,301,9.2,3558
302,1,302,8.2,1382
303,1,303,5.8,1048
304,1,304,9.0,3363
305,1,305,8.9,3143
306,1,306,8.1,1294
307,1,307,8.3,1587
308,1,308,9.0,3296
309,1,309,9.7,22543
310,1,310,9.2,3569
311,1,311,9.0,3276
312,1,312,9.7,22087
313,1,313,8.7,2299
314,1,314,9.2,3577
315,1,315,8.3,1577
316,1,316,9.2,3690
317,1,317,6.3,956
318,1,318,6.2,1004
319,1,319,6.7,937
320,1,320,8.1,1290
321,1,321,7.9,1207
322,1,322,8.0,1229
323,1,323,8.5,1457
